"ssn","annual_income"
"100009868","52200"
"100169584","64500"
"100300433","74400"
"100355733","35900"
"100366269","73000"
"100593316","16100"
"100626193","10800"
"100739881","53800"
"100749089","61200"
"100958115","51200"
"100963372","49200"
"101173464","78000"
"101223138","64900"
"101325996","79900"
"101327504","88400"
"101469870","37400"
"101746841","19700"
"101776262","41000"
"102088059","13300"
"102143518","21500"
"102283594","11300"
"102449982","67400"
"102491708","51200"
"102496854","14800"
"102503205","324800"
"102565325","37400"
"102629149","22100"
"102772052","20600"
"102815882","61900"
"102935636","58800"
"103003881","36200"
"103025619","81400"
"103046587","17000"
"103254270","74100"
"103633864","86300"
"103903248","46400"
"103924314","45000"
"103969653","87600"
"104387069","29900"
"104590588","17900"
"104723130","70600"
"104789099","30100"
"105007923","75300"
"105016510","19300"
"105183209","51100"
"105296868","78000"
"105395377","65000"
"105623827","40900"
"105736446","47000"
"106500806","56100"
"106649311","44400"
"106757631","45700"
"107241963","75200"
"107358050","80200"
"107647899","45500"
"107666913","25700"
"107697649","61600"
"107718040","48200"
"107729488","61100"
"107862470","41600"
"107915248","14300"
"107948658","89100"
"108004679","16600"
"108155182","23500"
"108276259","41300"
"108312070","12300"
"108335561","88200"
"108344301","64200"
"108412634","42100"
"108446565","15900"
"108481018","81400"
"108646939","72500"
"108808835","64100"
"108814900","64000"
"108979166","74600"
"109157931","51500"
"109437040","24700"
"109437942","24800"
"109666499","30900"
"109728807","11200"
"109778997","32300"
"109799993","11400"
"109969192","84000"
"110073633","38300"
"110337379","84300"
"110517470","38400"
"110523316","44900"
"110649084","50700"
"110677997","51600"
"110805190","48500"
"110982079","53500"
"111369877","40900"
"111411498","51500"
"111468782","37700"
"111659809","86000"
"112108615","18300"
"112250032","87600"
"112369470","25800"
"112458011","30000"
"112644129","27300"
